Package Name                          Version                              Info
ant                                   1.10.5-2                             Java based build tool like make                                      
ant-contrib                           1.0~b3+svn177-10                     collection of tasks, types and other tools for Apache Ant            
ant-optional                          1.10.5-2                             Java based build tool like make - optional libraries                 
apparmor:armhf                        2.13.2-10                            user-space parser utility for AppArmor                               
bluej                                 4.2.1                                A simple but powerful Java IDE.                                      
ca-certificates-java                  20190405                             Common CA certificates (JKS keystore)                                
claws-mail-i18n                       3.17.3-2                             Locale data for Claws Mail (i18n support)                            
claws-mail:armhf                      3.17.3-2                             Fast, lightweight and user-friendly GTK+2 based email client         
code-the-classics                     0.3                                  Python games to accompany Code the Classics Volume 1 book            
coinor-libcbc3:armhf                  2.9.9+repack1-1                      Coin-or branch-and-cut mixed integer programming solver (shared libra
coinor-libcgl1:armhf                  0.59.10+repack1-1                    COIN-OR Cut Generation Library                                       
coinor-libclp1:armhf                  1.16.11+repack1-1                    Coin-or linear programming solver (shared libraries)                 
coinor-libcoinmp1v5:armhf             1.8.3-2                              Simple C API for COIN-OR Solvers Clp and Cbc -- library              
coinor-libcoinutils3v5:armhf          2.10.14+repack1-1                    Coin-or collection of utility classes (binaries and libraries)       
coinor-libosi1v5:armhf                0.107.9+repack1-1                    COIN-OR Open Solver Interface                                        
firebird3.0-common                    3.0.5.33100.ds4-2                    common files for firebird 3.0 server, client and utilities           
firebird3.0-common-doc                3.0.5.33100.ds4-2                    copyright, licensing and changelogs of firebird3.0                   
firebird3.0-server-core:armhf         3.0.5.33100.ds4-2                    Firebird engine core                                                 
firebird3.0-utils:armhf               3.0.5.33100.ds4-2                    Firebird command line utilities                                      
firmware-microbit-micropython         1.0.1-1                              MicroPython runtime for the BBC micro:bit                            
fonts-crosextra-caladea               20130214-2                           Serif font metric-compatible with the Cambria font                   
fonts-crosextra-carlito               20130920-1                           Sans-serif font metric-compatible with Calibri font                  
fonts-dejavu                          2.37-1                               metapackage to pull in fonts-dejavu-core and fonts-dejavu-extra      
fonts-dejavu-extra                    2.37-1                               Vera font family derivate with additional characters (extra variants)
fonts-inconsolata                     001.010-5                            monospace font for pretty code listings and for the terminal         
fonts-lato                            2.0-2                                sans-serif typeface family font                                      
fonts-liberation                      1:1.07.4-9                           Fonts with the same metrics as Times, Arial and Courier              
fonts-linuxlibertine                  5.3.0-4                              Linux Libertine family of fonts                                      
fonts-lyx                             2.3.2-1                              TrueType versions of some TeX fonts used by LyX                      
fonts-noto-core                       20181227-1                           "No Tofu" font families with large Unicode coverage (core)           
fonts-noto-ui-core                    20181227-1                           "No Tofu" font families with large Unicode coverage (UI core)        
fonts-opensymbol                      2:102.10+LibO6.1.5-3+rpi1+deb10u7+rptOpenSymbol TrueType font                                             
fonts-sil-gentium                     20081126:1.03-2                      extended Unicode Latin font ("a typeface for the nations")           
fonts-sil-gentium-basic               1.102-1                              smart Unicode font families (Basic and Book Basic) based on Gentium  
greenfoot-unbundled                   3.6.0                                A simple but powerful Java IDE.                                      
gstreamer1.0-gtk3:armhf               1.14.4-1+rpt1+deb10u1                GStreamer plugin for GTK+3                                           
gyp                                   0.1+20180428git4d467626-3            Cross-platform build script generator                                
jackd                                 5+nmu1                               JACK Audio Connection Kit (default server package)                   
jackd2:armhf                          1.9.12~dfsg-2                        JACK Audio Connection Kit (server and example clients)               
java-common                           0.71                                 Base package for Java runtimes                                       
libabw-0.1-1:armhf                    0.1.2-1                              library for reading and writing AbiWord(tm) documents                
libactivation-java                    1.2.0-2                              JavaBeans Activation Framework                                       
libaopalliance-java                   20070526-6                           library for interoperability for Java AOP implementations            
libapache-poi-java                    4.0.1-1                              Apache POI - Java API for Microsoft Documents                        
libapache-pom-java                    18-1                                 Maven metadata for all Apache Software projects                      
libargs4j-java                        2.33-1                               Java command line arguments parser                                   
libasm-java                           7.0-1                                Java bytecode manipulation framework                                 
libatinject-jsr330-api-java           1.0+ds1-5                            Java API for JSR-330 Dependency Injection                            
libatk-wrapper-java                   0.33.3-22                            ATK implementation for Java using JNI                                
libatk-wrapper-java-jni:armhf         0.33.3-22                            ATK implementation for Java using JNI (JNI bindings)                 
libaubio5:armhf                       0.4.6-2+b1                           library for audio segmentation                                       
libbase-java                          1.1.6-2                              A general purpose base service library (OOo 3.1 branch)              
libbcmail-java                        1.60-1                               Bouncy Castle generators/processors for S/MIME and CMS               
libbcpkix-java                        1.60-1                               Bouncy Castle Java API for PKIX, CMS, EAC, TSP, PKCS, OCSP, CMP, and 
libbcprov-java                        1.60-1                               Bouncy Castle Java Cryptographic Service Provider                    
libboost-chrono1.67.0:armhf           1.67.0-13+deb10u1                    C++ representation of time duration, time point, and clocks          
libboost-date-time1.67.0:armhf        1.67.0-13+deb10u1                    set of date-time libraries based on generic programming concepts     
libboost-filesystem1.67.0:armhf       1.67.0-13+deb10u1                    filesystem operations (portable paths, iteration over directories, et
libboost-locale1.67.0:armhf           1.67.0-13+deb10u1                    C++ facilities for localization                                      
libbsh-java                           2.0b4-19                             Java scripting environment (BeanShell) Version 2 (library)           
libc-ares2:armhf                      1.14.0-1                             asynchronous name resolver                                           
libcdi-api-java                       1.2-2                                Contexts and Dependency Injection for Java EE                        
libcdr-0.1-1:armhf                    0.1.5-1                              library for reading and converting Corel DRAW files                  
libcglib-java                         3.2.10-1                             Code generation library for Java                                     
libclucene-contribs1v5:armhf          2.3.3.4+dfsg-1                       language specific text analyzers (runtime)                           
libclucene-core1v5:armhf              2.3.3.4+dfsg-1                       core library for full-featured text search engine (runtime)          
libcmis-0.5-5v5:armhf                 0.5.2-1                              CMIS protocol client library                                         
libcodemodel-java                     2.6+jaxb2.3.0.1-8                    Java library for code generators                                     
libcolamd2:armhf                      1:5.4.0+dfsg-1                       column approximate minimum degree ordering library for sparse matrice
libcommons-cli-java                   1.4-1                                Command line arguments and options parsing library                   
libcommons-codec-java                 1.11-1                               encoder and decoders such as Base64 and hexadecimal codec            
libcommons-collections3-java          3.2.2-2                              Apache Commons Collections - Extended Collections API for Java       
libcommons-collections4-java          4.2-1                                Apache Commons Collections - Extended Collections API for Java       
libcommons-compress-java              1.18-2+deb10u1                       Java API for working with compression and archive formats            
libcommons-io-java                    2.6-2                                Common useful IO related classes                                     
libcommons-lang3-java                 3.8-2                                Apache Commons Lang utility classes                                  
libcommons-logging-java               1.2-2                                common wrapper interface for several logging APIs                    
libcommons-math3-java                 3.6.1-3                              Java lightweight mathematics and statistics components               
libcommons-parent-java                43-1                                 Maven metadata for Apache Commons project                            
libcompfaceg1:armhf                   1:1.5.2-5                            Compress/decompress images for mailheaders, libc6 runtime            
libcurvesapi-java                     1.05-1                               Java implementation of mathematical curves defined over a set of cont
libdom4j-java                         2.1.1-2                              Flexible XML framework for Java                                      
libdtd-parser-java                    1.2~svn20110404-1                    Java library for parsing XML DTDs                                    
libe-book-0.1-1:armhf                 0.1.3-1+b2                           library for reading and converting various  e-book formats           
libehcache-java                       2.6.11-3                             distributed cache library                                            
libel-api-java                        3.0.0-2+deb10u1                      Expression Language API                                              
libeot0:armhf                         0.01-5                               Library for parsing/converting Embedded OpenType files               
libepubgen-0.1-1:armhf                0.1.1-1                              EPUB generator library                                               
libetonyek-0.1-1:armhf                0.1.9-1                              library for reading and converting Apple Keynote presentations       
libetpan20:armhf                      1.9.3-2                              mail handling library                                                
libexttextcat-2.0-0:armhf             3.4.5-1                              Language detection library                                           
libexttextcat-data                    3.4.5-1                              Language detection library - data files                              
libfastinfoset-java                   1.2.12-3                             Java library implementing the Fast Infoset standard                  
libfbclient2:armhf                    3.0.5.33100.ds4-2                    Firebird client library                                              
libflute-java                         1:1.1.6-4                            Java CSS parser using SAC (JFree version)                            
libfonts-java                         1.1.6.dfsg-3                         Java fonts layouting library                                         
libformula-java                       1.1.7.dfsg-2                         Excel(tm) style formula expressions library                          
libfreehand-0.1-1:armhf               0.1.2-2                              Library for parsing the FreeHand file format structure               
